HSI_path,Mask_path
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0022_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0022_ref/Annotations/20250411_0022_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0001_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0001_ref/Annotations/20250411_0001_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0002_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0002_ref/Annotations/20250411_0002_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0003_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0003_ref/Annotations/20250411_0003_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0004_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0004_ref/Annotations/20250411_0004_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0005_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0005_ref/Annotations/20250411_0005_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0006_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0006_ref/Annotations/20250411_0006_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0007_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0007_ref/Annotations/20250411_0007_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0008_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0008_ref/Annotations/20250411_0008_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0009_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0009_ref/Annotations/20250411_0009_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0010_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0010_ref/Annotations/20250411_0010_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0011_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0011_ref/Annotations/20250411_0011_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0012_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0012_ref/Annotations/20250411_0012_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0013_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0013_ref/Annotations/20250411_0013_ref.png
/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0014_ref,/media/nas/LSL_Team/Data/2025_HYPOCHIR_Dataset/Segmentation/B0001/20250411_0014_ref/Annotations/20250411_0014_ref.png
